,297,594,891,1188,1485,1782,2079,2376,2673,2970
Bin Comp Best,2,2,2,2,2,2,2,2,2,2
Bin Comp Worst,34,40,46,48,46,44,44,46,44,64
Bin Comp Average,20,20,24,24,24,24,25,24,25,30
Bin Insert Best,2,2,2,2,2,2,2,2,2,2
Bin Insert Worst,34,40,46,48,46,44,44,46,44,64
Bin Insert Average,20,20,24,24,24,24,25,24,25,30
Arr Comp Best,2,2,2,2,2,2,2,2,2,2
Arr Comp Worst,298,595,892,1188,1486,1783,2079,2377,2674,2959
Arr Comp Average,145,279,404,529,644,740,841,923,1023,1078
